X;entrevistador;bairro;relig;OBS;genero;idade;cor;estadocivil;casamento;pessoascasa;grau;estudo;educ;anosreligiosa;educreligiosa;ocup;saude;padrao;vidadiaria;familia;equilibrio;pessoasprox;sono;diaadia;infoudep;espourel;freqrel;velhice;desemprego;comida;filhos;aposentadoria;vestir;caminhar;banho;comer;segurar;levantar;banheiro;suicidio;suicidio2;atendmedico;horastrab;horasdorm;horaslazer;indep;cultura;plantas;hiv;assassinato;roubo;mentira;estupro;atividadescult;criaemprego;reduzdif;goveduc;govsaude;lutacorr;inccult;votou;voto;direitos;precgen;precrel;precsex;preccor;tempocidade;trabvol;doa;conf;confia;concorda1;concorda2;concorda3;concorda4;assalto;agressfisica;agresssex;seguro;seguro2;pol;des;lixo;animais;renda;rendanec;divida;divida2;GELADEIRA;TELEVISÃO;TELEFONE;COMPUTADOR;VEICULO;RESPOSTA
29;Carolina Amaral;Cajuru;Evangélica;NA;2,00;37,00;1,00;4,00;1,00;6,00;6,00;2,00;2,00;1,00;2,00;6,00;3,00;1,00;2,00;1,00;3,00;10,00;1,00;3,00;2,00;1,00;3,00;1,00;1,00;1,00;1,00;0,00;1,00;2,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;5,00;12,00;7,00;1,00;1,00;1,00;1,00;1,00;3,00;3,00;3,00;3,00;1,00;3,00;3,00;1,00;3,00;2,00;4,00;1,00;1,00;3,00;1,00;2,00;2,00;2,00;37,00;1,00;1,00;1,00;2,00;1,00;1,00;2,00;1,00;1,00;2,00;2,00;2,00;2,00;1,00;1,00;1,00;1,00;3,00;1,00;2,00;3,00;1,00;1,00;1,00;1,00;1,00;9,00
30;Carolina Amaral;Uberada;Evangélica;NA;2,00;36,00;1,00;1,00;1,00;5,00;2,00;2,00;1,00;4,00;2,00;10,00;3,00;2,00;1,00;1,00;1,00;5,00;1,00;3,00;1,00;2,00;3,00;4,00;2,00;1,00;1,00;4,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;10,00;5,00;9,00;6,00;3,00;3,00;2,00;1,00;3,00;3,00;3,00;3,00;2,00;3,00;3,00;3,00;3,00;2,00;4,00;2,00;1,00;3,00;2,00;2,00;2,00;2,00;36,00;2,00;1,00;1,00;2,00;1,00;2,00;2,00;1,00;2,00;2,00;2,00;3,00;3,00;2,00;2,00;2,00;2,00;3,00;1,00;2,00;3,00;1,00;1,00;1,00;1,00;1,00;10,00
31;Carolina Amaral;CIC;Evangélica;NA;1,00;21,00;3,00;1,00;1,00;4,00;3,00;2,00;1,00;1,00;2,00;1,00;2,00;1,00;1,00;1,00;1,00;4,00;1,00;4,00;1,00;2,00;3,00;4,00;1,00;2,00;0,00;4,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;5,00;0,00;7,00;10,00;3,00;2,00;2,00;2,00;3,00;3,00;3,00;3,00;1,00;4,00;2,00;2,00;1,00;4,00;2,00;2,00;1,00;3,00;2,00;2,00;2,00;2,00;21,00;2,00;1,00;1,00;2,00;1,00;2,00;2,00;1,00;2,00;2,00;2,00;1,00;1,00;2,00;1,00;2,00;2,00;3,00;2,00;2,00;1,00;1,00;1,00;1,00;1,00;2,00;8,00
32;Carolina Amaral;Jardim Maringá Xaxim;Católica;NA;2,00;65,00;1,00;3,00;1,00;3,00;2,00;2,00;1,00;0,00;2,00;14,00;1,00;2,00;1,00;1,00;1,00;8,00;2,00;3,00;2,00;1,00;3,00;2,00;0,00;2,00;1,00;3,00;1,00;2,00;1,00;1,00;1,00;2,00;1,00;0,00;0,00;20,00;6,00;7,00;2,00;1,00;2,00;2,00;1,00;3,00;3,00;3,00;3,00;1,00;3,00;3,00;3,00;3,00;3,00;2,00;1,00;1,00;3,00;1,00;2,00;2,00;2,00;43,00;2,00;1,00;1,00;2,00;1,00;1,00;2,00;1,00;2,00;2,00;2,00;1,00;2,00;1,00;1,00;1,00;1,00;3,00;2,00;2,00;3,00;1,00;1,00;1,00;2,00;2,00;8,00
33;Carolina Amaral;Sitio Cercado;Católica;NA;2,00;57,00;1,00;2,00;2,00;4,00;6,00;2,00;1,00;5,00;2,00;11,00;1,00;1,00;1,00;1,00;1,00;3,00;2,00;4,00;2,00;3,00;3,00;4,00;0,00;4,00;2,00;2,00;1,00;1,00;1,00;1,00;1,00;2,00;1,00;0,00;0,00;30,00;8,00;8,00;4,00;1,00;1,00;1,00;1,00;3,00;3,00;3,00;3,00;2,00;3,00;3,00;3,00;3,00;1,00;2,00;1,00;1,00;2,00;1,00;2,00;2,00;2,00;12,00;2,00;1,00;1,00;2,00;1,00;2,00;2,00;1,00;2,00;2,00;2,00;1,00;2,00;1,00;1,00;1,00;2,00;3,00;2,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;9,00
34;Carolina Amaral;Capão Raso;Católica;NA;1,00;60,00;3,00;2,00;3,00;4,00;5,00;2,00;1,00;8,00;2,00;10,00;1,00;1,00;1,00;1,00;1,00;3,00;1,00;3,00;1,00;3,00;3,00;4,00;0,00;4,00;2,00;2,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;10,00;10,00;8,00;2,00;1,00;2,00;1,00;1,00;2,00;3,00;3,00;3,00;2,00;3,00;3,00;3,00;3,00;1,00;3,00;1,00;1,00;3,00;2,00;2,00;2,00;2,00;13,00;2,00;1,00;1,00;3,00;1,00;1,00;2,00;1,00;2,00;2,00;2,00;2,00;1,00;1,00;1,00;1,00;2,00;3,00;1,00;1,00;1,00;1,00;1,00;1,00;2,00;1,00;10,00
35;Carolina Amaral;Mombore;Católica;NA;2,00;35,00;1,00;5,00;1,00;4,00;1,00;2,00;1,00;1,00;2,00;11,00;2,00;1,00;1,00;1,00;1,00;2,00;1,00;3,00;1,00;4,00;4,00;2,00;4,00;4,00;1,00;3,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;30,00;5,00;6,00;1,00;4,00;2,00;2,00;1,00;3,00;3,00;3,00;3,00;1,00;3,00;3,00;2,00;2,00;3,00;2,00;1,00;1,00;3,00;2,00;2,00;2,00;2,00;5,00;2,00;2,00;1,00;2,00;1,00;2,00;2,00;1,00;2,00;2,00;2,00;1,00;1,00;1,00;2,00;2,00;2,00;2,00;2,00;2,00;3,00;1,00;1,00;1,00;2,00;2,00;9,00
36;Carolina Amaral;Colombo;Católica;NA;2,00;32,00;3,00;2,00;2,00;4,00;4,00;2,00;1,00;1,00;2,00;6,00;3,00;2,00;2,00;1,00;1,00;10,00;1,00;3,00;2,00;1,00;3,00;3,00;1,00;1,00;3,00;4,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;10,00;8,00;7,00;0,00;2,00;2,00;2,00;1,00;3,00;3,00;2,00;3,00;1,00;3,00;3,00;3,00;3,00;3,00;2,00;1,00;2,00;3,00;1,00;2,00;2,00;2,00;20,00;1,00;1,00;1,00;2,00;1,00;2,00;2,00;1,00;2,00;2,00;2,00;2,00;2,00;1,00;1,00;1,00;2,00;2,00;1,00;1,00;3,00;1,00;1,00;1,00;1,00;1,00;8,00
37;Carolina Amaral;Uberada;Católica;NA;2,00;65,00;1,00;3,00;1,00;2,00;5,00;2,00;1,00;5,00;2,00;14,00;1,00;1,00;1,00;1,00;1,00;5,00;1,00;3,00;2,00;4,00;3,00;1,00;0,00;1,00;1,00;4,00;2,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;40,00;4,00;4,00;3,00;1,00;2,00;2,00;1,00;3,00;3,00;3,00;3,00;1,00;3,00;3,00;3,00;3,00;3,00;3,00;1,00;3,00;3,00;2,00;2,00;2,00;2,00;42,00;2,00;1,00;1,00;2,00;1,00;2,00;2,00;1,00;2,00;2,00;2,00;2,00;2,00;1,00;1,00;1,00;1,00;3,00;2,00;2,00;3,00;1,00;1,00;1,00;1,00;1,00;8,00
38;Carolina Amaral;Capão da Imbuia;Católica;aposentado;2,00;73,00;1,00;5,00;1,00;4,00;1,00;2,00;1,00;8,00;2,00;14,00;1,00;1,00;1,00;1,00;1,00;10,00;1,00;4,00;1,00;1,00;4,00;2,00;0,00;4,00;4,00;4,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;20,00;7,00;5,00;5,00;3,00;2,00;1,00;3,00;3,00;3,00;2,00;3,00;1,00;3,00;3,00;3,00;3,00;3,00;3,00;1,00;1,00;2,00;2,00;1,00;2,00;2,00;35,00;1,00;1,00;1,00;2,00;1,00;2,00;2,00;1,00;2,00;2,00;2,00;1,00;1,00;2,00;2,00;2,00;2,00;3,00;3,00;2,00;3,00;1,00;1,00;1,00;1,00;1,00;10,00
